"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","TRANSACTOR_F","CMHC_F","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17633,"1402","0503",0.00050001,0.00138923,"0.0500%","0.1389%",HELOC,PD Band 2,"2","2",,,"202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17409,"1402","0503",0.00050001,0.00151884,"0.0500%","0.1518%",HELOC,PD Band 2,"2","2",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17533,"1402","0599",0.00050001,0.00082645,"0.0500%","0.0826%",No Exposure Class,PD Band 2,"2","2",,,"202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17413,"1402","0599",0.00050001,0.00076131,"0.0500%","0.0761%",No Exposure Class,PD Band 2,"2","2",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17414,"1403","0502",0.00094011,0.00195692,"0.0940%","0.1956%",Mortgage,PD Band 3,"3","3",,,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17252,"1403","0504",0.00082009,0.00340684,"0.0820%","0.3407%",Total QRRE,PD Band 3,"3","3",N,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17106,"1403","0505",,,,,Credit Card,PD Band 3,"3","3",,,"200010","999912",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17422,"1404","0502",0.00195693,0.00349995,"0.1956%","0.3499%",Mortgage,PD Band 4,"4","4",,Y,"202401","202411",N,2024-02-03-22.55.00.000000,2024-12-13-13.57.00.000000
17216,"1404","0503",0.00715699,0.03706661,"0.7157%","3.7067%",HELOC,PD Band 4,"4","4",,,"202302","202302",N,2023-03-01-11.29.00.000000,2023-04-12-15.57.00.000000
17056,"1404","0504",0.00271000,0.00409900,"0.2710%","0.4099%",Total QRRE,PD Band 4,"4","4",,,"200010","202301",N,2014-10-02-10.56.09.000000,2023-03-01-11.29.00.000000
