"PRD_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_NM","EGL_DEPRTMNT","EGL_TRNST","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
KS139     ,"200010","202301",VISA Value - Visa Value Regular >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS131     ,"202302","999912",VISA Value - Visa Value-No Fee >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS18      ,"200010","999912",AMEX - Scotiabank Standard AMEX Staff - RE Secured,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS48      ,"200010","999912",Scotia Student Line - Scotia Student Loan type B,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS131     ,"200010","202301",VISA Value - Visa Value-No Fee >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS133     ,"200010","999912",VISA Value - Companion Card,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS107     ,"200010","999912",VISA Gold - Private Banking,"17510","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS116     ,"200010","999912",VISA Gold - ScotiaProfessional Plan - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS105     ,"200010","202301",VISA Gold - Visa Gold-No Fee >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS100     ,"200010","999912",VISA Gold - Visa Gold-BA No Fee - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS124     ,"200010","999912",ScotiaLine Visa - Regular - RE Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS58      ,"200010","202301",VISA Classic - Corporate Credit - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS178     ,"201606","202301",Scotiabank Passport Visa Infinite - Staff - STEP>$125K,"10210","00002",N,2017-12-07-13.35.29.000000,2023-03-01-00.00.01.000000
KS119     ,"200010","999912",VISA Gold - Visa Gold-Staff,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS47      ,"200010","999912",Scotia Student Line - Scotia Student Loan type A,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS74      ,"200010","202301",VISA Classic - Visa Classic-Regular - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS137     ,"200010","999912",VISA Value - Visa Value Regular,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS03      ,"200010","202301",AMEX - Scotiabank Gold AMEX >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS20      ,"200010","202301",AMEX - Scotiabank Standard AMEX Staff - RE Secured >$125K,"10211","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS104     ,"200010","999912",VISA Gold - Visa Gold-No Fee - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS40      ,"202302","999912",ScotiaLine - RRSP Catch-up - RE Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS03      ,"202302","999912",AMEX - Scotiabank Gold AMEX >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS118     ,"202302","999912",VISA Gold - ScotiaProfessional Plan - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS118     ,"200010","202301",VISA Gold - ScotiaProfessional Plan - RE Secured >$125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS29      ,"200010","999912",ScotiaLine - IMA,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS40      ,"200010","202301",ScotiaLine - RRSP Catch-up - RE Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS94      ,"202302","999912",VISA Classic - Learn-Student - RE Secured >$150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS161     ,"202302","999912",Scotiabank GM VISA Card - Regular > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS60      ,"200010","999912",VISA Classic - Scotia Momentum VISA-Infinite - RE Secured,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS59      ,"200010","999912",VISA Classic - Scotia Momentum VISA-Infinite,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS85      ,"200010","202301",VISA Classic - Scene-Student > $125K,"10210","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS23      ,"200010","202301",ScotiaLine - Cash Secured >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS51      ,"201606","999912",Scotia Student Line - Scotia Professional Student Plan type A,"11010","00002",Y,2016-07-05-15.46.07.000000,2016-07-05-15.46.07.000000
KS110     ,"200010","202301",VISA Gold - Private Banking - RE Secured >$125K,"17510","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS110     ,"202302","999912",VISA Gold - Private Banking - RE Secured >$150K,"17510","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
S04       ,"200010","999912",Direct Other - Dept.,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS85      ,"202302","999912",VISA Classic - Scene-Student > $150K,"10210","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS23      ,"202302","999912",ScotiaLine - Cash Secured >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS38      ,"200010","999912",ScotiaLine - RRSP Catch-up - RE Secured,"10010","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS55      ,"200010","999912",VISA Classic - Corporate Credit,"10210","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
KS45      ,"200010","202301",Scotia Student Line - Scotia Student Line type A >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS50      ,"200010","202301",Scotia Student Line - Scotia Student Line type B  >$125K,"10010","00002",N,2015-01-31-14.08.01.000000,2023-03-01-00.00.01.000000
KS45      ,"202302","999912",Scotia Student Line - Scotia Student Line type A >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS15      ,"202302","999912",AMEX - Scotiabank Standard AMEX >$150K,"10211","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS50      ,"202302","999912",Scotia Student Line - Scotia Student Line type B  >$150K,"10010","00002",Y,2023-03-01-00.00.01.000000,2023-03-01-00.00.01.000000
KS06      ,"200010","999912",AMEX - Scotiabank Gold AMEX Staff - RE Secured,"10211","00002",Y,2015-01-31-14.08.01.000000,2015-01-31-14.08.01.000000
