"CITY_NM","METRPL_AREA_NM","EFF_FROM_YR_MTH","PROV","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Capilano 5,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Surrey,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
White Rock,Vancouver,"200001",BC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Grimsby,Hamilton,"200001",ON,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Brokenhead 4,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
East St. Paul,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Headingley,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Macdonald,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Ritchot,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Rosser,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Springfield,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
St. Clements,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
St. François Xavier,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Taché,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
West St. Paul,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Winnipeg,Winnipeg,"200001",MB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Beaumont,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Château-Richer,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Ancienne-Lorette,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
L'Ange-Gardien,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lac-Delage,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Lévis,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Neuville,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Québec,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-François-de-l'Île-d'Orléans,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Henri,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Jean-de-l'Île-d'Orléans,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Laurent-de-l'Île-d'Orléans,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Saint-Pierre-de-l'Île-d'Orléans,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Catherine-de-la-Jacques-Cartier,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Sainte-Famille,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Shannon,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Stoneham-et-Tewkesbury,Québec,"200001",QC,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
Alexander 134,Edmonton,"200001",AB,"999912",Y,2016-12-19-17.01.00.000000,2016-12-19-17.01.00.000000
