"ORG_UNIT_HIERARCHY_ID","EFF_FROM_TMSTMP","TRNST_NUM","RGNL_OFFC_TRNST_NUM","DSTRCT_OFFC_TRNST_NUM","RGNL_OFFC_OU_ID","DSTRCT_OFFC_OU_ID","EFF_TO_TMSTMP","CRNT_F","RGNL_OFFC_CD","DSTRCT_OFFC_CD","TRNST_NM","RGNL_OFFC_DESC","DSTRCT_OFFC_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17577614,2011-03-11-00.00.00.000000,"30767","20719","94268",17580231,17578467,9999-12-31-00.00.00.000000,Y,"6    ","43                            ","FLIN FLON, MANITOBA                               ",PRAIRIE REGION                            ,SASKATCHEWAN NORTH                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577522,2010-04-11-00.00.00.000000,"24042","32482","44248",17580325,17578456,2015-12-09-23.59.59.000000,N,"5    ","37                            ","HEARTLAND TOWN CENTRE, MISSISSAUGA, ONT.          ",TORONTO REGION                            ,GTA MISSISSAUGA OAKVILLE                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17579362,2011-05-11-00.00.00.000000,"02691","00661","40881",17580083,17580390,9999-12-31-00.00.00.000000,Y,"3    ","16                            ",QUEBEC REMOTE MORTGAGES                           ,QUEBEC & EASTERN ONTARIO                  ,QUEBEC & E. ONT DIRECT REPORTING UNITS    ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576418,2011-09-13-00.00.00.000000,"90217","20719","20537",17580231,17580227,9999-12-31-00.00.00.000000,Y,"6    ","41                            ","KENORA, ONT.                                      ",PRAIRIE REGION                            ,WINNIPEG                                  ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576624,2003-11-07-00.00.00.000000,"90118","20719","94268",17580231,17578467,9999-12-31-00.00.00.000000,Y,"6    ","43                            ","AYLSHAM (SUB TO NIPAWIN, SASK.)                   ",PRAIRIE REGION                            ,SASKATCHEWAN NORTH                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577084,2010-12-12-00.00.00.000000,"52662","68502","44198",17577462,17578455,9999-12-31-00.00.00.000000,Y,"4    ","24                            ",CALEDONIA                                         ,ONTARIO REGION                            ,ONTARIO CENTRAL SOUTH                     ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17577111,2010-09-12-00.00.00.000000,"70524","12153","20644",17577393,17580230,9999-12-31-00.00.00.000000,Y,"2    ","05                            ",EDMUNDSTON                                        ,ATLANTIC REGION                           ,WEST NEW BRUNSWICK                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17575271,2006-12-11-00.00.00.000000,"84756","32482","01016",17580325,17580091,9999-12-31-00.00.00.000000,Y,"5    ","35                            ",NT PORT CREDIT                                    ,TORONTO REGION                            ,TORONTO WEST                              ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17578784,2011-10-13-00.00.00.000000,"85118",,,-1,-1,9999-12-31-00.00.00.000000,Y,"0    ","51                            ",PRAIRIES AGRICULTURE                              ,NOT APPLICABLE                            ,COMMERCIAL BANKING                        ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580072,2011-07-18-00.00.00.000000,"38646","32482","51896",17580325,17577655,9999-12-31-00.00.00.000000,Y,"5    ","34                            ",KING & PRINCESS                                   ,TORONTO REGION                            ,TORONTO CENTRE                            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17576136,2007-04-14-00.00.00.000000,"40477","20719","32359",17580231,17577716,9999-12-31-00.00.00.000000,Y,"6    ","52                            ",WINNIPEG DATA CONTROL & A.C.S. ACCOUNTING         ,PRAIRIE REGION                            ,PRAIRIE DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
17580644,2003-11-07-00.00.00.000000,"72462","68502","92536",17577462,17580791,9999-12-31-00.00.00.000000,Y,"4    ","28                            ",W & N. ONT. REG.OFF.BUDGET                        ,ONTARIO REGION                            ,ONTARIO DIRECT REPORTING UNITS            ,2016-01-15-14.22.32.000000,2016-01-15-14.22.32.000000
