"PLN_PRD_CD","ACCT_TP_CD","EFF_FROM_YR_MTH","RGSTRD_F","EFF_TO_YR_MTH","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP","CRNT_F"
RDS       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RDS       ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RDS       ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTP     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTP     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTP     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIS       ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIS       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
LIS       ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSST     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSST     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSST     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REF       ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REF       ,DHS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
REF       ,MFS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTS     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTS     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSTS     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSNP     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSNP     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSNP     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RISSB     ,TAS       ,"201410",Y,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RISSB     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
RISSB     ,MFS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSFT     ,TAS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
NRSFT     ,DHS       ,"201410",N,"999912",2014-12-08-15.51.30.000000,2014-12-08-15.51.30.000000,Y
