"TXN_CL_ID","TXN_CL_CD","TXN_CL_DESC","TXN_TP_CD","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
1006017,"398       ",TAXES,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005996,"377       ",MORTGAGE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006045,"426       ",CASH MGMT.,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006144,"909       ",CURRENCY/AMT MISMATCH,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006269,"891       ",LOAN PROCEEDS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005947,"328       ",FEDERAL GOV'T,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006290,"958       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005821,"202       ",VAC. PAYROLL,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006054,"435       ",FUEL BILL,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006238,"652       ",ABM DEPOSIT,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006040,"421       ",CASH MGMT.,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005970,"351       ",PERSONAL LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006245,"659       ",INTERAC ABM FEE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005877,"258       ",DIVIDEND,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006261,"792       ",UNCLAIMED BALANCE NOTICE,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006103,"712       ",COMMERCIAL GST,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006078,"603       ",INCOME SECURITY BENEFITS,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006185,"197       ",BACK ITEM CREDIT,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006286,"950       ",TXN CODE : 1-950,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005836,"217       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006090,"650       ",INTER-FI FUNDS TRANS DR,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006215,"450       ",OVERDRAFT CHARGE,O         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006109,"718       ",COMMERCIAL BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006272,"894       ",RETURNED NSF CHEQUE,N         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006137,"902       ",CANNOT TRACE,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006096,"705       ",COMMERCIAL CASUALTY INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005848,"229       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006216,"458       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006217,"477       ",VISA/LINE OF CREDIT PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005862,"243       ",ANNUITY,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005842,"223       ",PAYROLL DEP.,P         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006156,"921       ",NO PRE-NOTIFICATION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005984,"365       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005908,"289       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006044,"425       ",CASH MGMT.,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005881,"262       ",INVESTMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006312,"995       ",CREDIT MEMO,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005944,"325       ",FEDERAL GOV'T,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005852,"233       ",PRIV. PENSION,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005853,"234       ",PENSION,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006278,"904       ",INTEREST REVERSAL,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006186,"198       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005818,"198       ",ERROR CORRECTION,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006043,"424       ",CASH MGMT.,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006104,"713       ",COMMERCIAL PROPERTY TAXES,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006139,"904       ",POST/STALE DATED,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006028,"409       ",RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006240,"654       ",ABM TFR TO,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005939,"320       ",STUDENT LOAN,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005904,"285       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005912,"293       ",INTEREST,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006032,"413       ",RENT/LEASE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006014,"395       ",TAXES,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005890,"271       ",RSP CONTRIBUTION,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006063,"444       ",BILL PAYMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005878,"259       ",DIVIDEND,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005867,"248       ",ANNUITY,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006267,"861       ",TXN CODE : 1-861,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006091,"700       ",BUSINESS PAD,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005961,"342       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006080,"605       ",FED-PROV/TERR,D         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006195,"293       ",TXN CODE : 1-293,U         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005986,"367       ",LOANS,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005894,"275       ",INVESTMENT,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1005958,"339       ",INSURANCE,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
1006129,"870       ",SCOTIA ACCIDENT INS PLAN,W         ,2014-07-10-15.38.38.000000,2014-07-10-15.38.38.000000
