"SCRTY_CD","EFF_FROM_YR_MTH","SCRTY_DESC","TP","PRD","SUB_PRD","STEP_F","BASEL_PRD","BASEL_SUB_PRD","BASEL_PROD_ABR","PRD_ID","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
98,"200001",MOBILE HOME,INDIRECT  ,RV,REGULAR,,INDIRECT OTHER,INDIRECT RV,INDIRECT RV,S15       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
47,"200001",TRAVEL TRAILER,INDIRECT  ,RV,REGULAR,,INDIRECT OTHER,INDIRECT RV,INDIRECT RV,S15       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
10,"200001",SIGNATURE,DIRECT    ,UNSECURED,UNSECURED OTHER,N,DIRECT UNSECURED,DIRECT UNSECURED OTHER,DIRECT UNSECURED OTHER,S07       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
11,"200001",SIGNATURE,DIRECT    ,UNSECURED,UNSECURED OTHER,N,DIRECT UNSECURED,DIRECT UNSECURED OTHER,DIRECT UNSECURED OTHER,S07       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
15,"200001",READILY REALIZABLE CASH,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
240,"200001",CLIP,DIRECT    ,SECURED,CLIP,N,DIRECT SECURED,DIRECT CLIP,DIRECT CLIP,S03       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
180,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
395,"200001",SSI T-BILLS MNYMKTMUTUALFUND,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
578,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
90,"200001",MOBILE HOME,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
807,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
88,"200001",MOTORCYCLE,INDIRECT  ,LEISURE,REGULAR,,INDIRECT OTHER,INDIRECT LEISURE,INDIRECT LEISURE,S12       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
827,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
101,"200001",MOTOR HOME,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
70,"200001",MUSICAL INSTRUMENT,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
147,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
120,"200001",AIRCRAFT,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
8,"200001",OTHER,INDIRECT  ,HOME IMPROVEMENTS,REGULAR,,INDIRECT OTHER,INDIRECT HOME IMPROVEMENT,INDIRECT HOME IMPROVEMENT,S11       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
61,"200001",COMBINATION,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
127,"200001",AIRCRAFT,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
24,"200001",NULL,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
17,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
330,"200001",DEPOSIT ACCOUNTS,DIRECT    ,SECURED,CASH/RRC,N,DIRECT SECURED,DIRECT CASH/RRC,DIRECT CASH/RRC,S02       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
241,"200001",NON-CLIP,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
57,"200001",MARINE,INDIRECT  ,MARINE,REGULAR,,INDIRECT OTHER,INDIRECT MARINE,INDIRECT MARINE,S13       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
121,"200001",AIRCRAFT,DIRECT    ,SECURED,OTHER DEPRECIABLE,N,DIRECT SECURED,DIRECT OTHER DEPRECIABLE,DIRECT OTHER DEPRECIABLE,S04       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
228,"200001",NULL,INDIRECT  ,OTHER,REGULAR,,INDIRECT OTHER,INDIRECT OTHER,INDIRECT OTHER,S14       ,"999912",Y,2015-05-19-11.24.41.000000,2015-05-19-11.24.41.000000
