"DLVY_KEY","TXN_GRP_KEY","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
73700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
42300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
58400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
74900,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
33000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
28300,N,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
45300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
8500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
49400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
2200,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
54900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56400,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
3600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
43100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
17000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
53800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
45200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
26000,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
1600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
47600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
44800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
58600,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
75100,P,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
18400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
50900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
8800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
18500,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
5900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
33900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
21600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
60300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
34000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
72600,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
56800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
40700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
51600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
30900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
55600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36700,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36500,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
70900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
28800,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
72000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
24900,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
7000,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
57600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
36600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
71400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
60700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65300,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62600,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
47800,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
42200,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
800,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
19100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
44400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
60500,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
24000,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
63200,,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
65900,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
73300,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
66400,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
9200,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
62100,D,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
64100,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
18700,W,2015-06-18-11.54.25.833120,2015-06-18-11.54.25.833120
