"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17276,"1422","0599",0.51450000,0.60740000,"51.4500%","60.7400%",No Exposure Class,PD Band 22,"22","22","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17283,"1423","0506",,,,,LOC,PD Band 23,"23","23","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17286,"1423","0511",,,,,Residential Mortgage - Other Insured,PD Band 23,"23","23","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17288,"1423","0599",0.60750000,0.80200000,"60.7500%","80.2000%",No Exposure Class,PD Band 23,"23","23","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17455,"1424","0504",0.99980000,0.99980000,"99.98%","99.98%",Total QRRE,PD Band 24,"24","24","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17293,"1424","0504",0.99980000,0.99980000,"99.9800%","99.9800%",Total QRRE,PD Band 24,"24","24","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17300,"1424","0599",0.80210000,0.88450000,"80.2100%","88.4500%",No Exposure Class,PD Band 24,"24","24","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17301,"1425","0500",,,,,Total Retail,PD Band 25,"25","25","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17321,"1426","0510",,,,,Residential Mortgage - CMHC Insured,Defaulted - 100%,"26","26","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17325,"1498","0598",,,,,Unknown,Unknown,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17326,"1499","0500",,,,,Total Retail,No PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17333,"1499","0507",-2.00000000,-2.00000000,,,Other Retail,No PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17335,"1499","0511",,,,,Residential Mortgage - Other Insured,No PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17007,"1400","0506",,,,,LOC,Total PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17009,"1400","0510",,,,,Residential Mortgage - CMHC Insured,Total PD Band,,,"200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17016,"1401","0503",0.00050000,0.00050000,"0.0500%","0.0500%",HELOC,PD Band 1,"1","1","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17340,"1401","0504",0.00100000,0.00100000,"0.10%","0.10%",Total QRRE,PD Band 1,"1","1","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17549,"1402","0504",0.00110000,0.00120000,"0.11%","0.12%",Total QRRE,PD Band 2,"2","2","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17346,"1402","0507",0.00060000,0.00100000,"0.06%","0.10%",Other Retail,PD Band 2,"2","2","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17033,"1402","0510",,,,,Residential Mortgage - CMHC Insured,PD Band 2,"2","2","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17554,"1403","0507",0.00100000,0.00230000,"0.10%","0.23%",Other Retail,PD Band 3,"3","3","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17556,"1404","0502",0.00190000,0.00330000,"0.19%","0.33%",Mortgage,PD Band 4,"4","4","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17354,"1404","0503",0.00720000,0.03740000,"0.72%","3.74%",HELOC,PD Band 4,"4","4","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17479,"1404","0507",0.00250000,0.00630000,"0.25%","0.63%",Other Retail,PD Band 4,"4","4","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17356,"1404","0507",0.00260000,0.00640000,"0.26%","0.64%",Other Retail,PD Band 4,"4","4","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17062,"1405","0501",,,,,Mortgage and HELOC,PD Band 5,"5","5","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17563,"1405","0504",0.00510000,0.00670000,"0.51%","0.67%",Total QRRE,PD Band 5,"5","5","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17567,"1406","0504",0.00680000,0.00750000,"0.68%","0.75%",Total QRRE,PD Band 6,"6","6","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17085,"1407","0500",,,,,Total Retail,PD Band 7,"7","7","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17496,"1408","0502",0.02380000,0.10090000,"2.38%","10.09%",Mortgage,PD Band 8,"8","8","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17102,"1408","0505",,,,,Credit Card,PD Band 8,"8","8","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17376,"1408","0507",0.01710000,0.03920000,"1.71%","3.92%",Other Retail,PD Band 8,"8","8","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17111,"1409","0502",0.05600000,0.08480000,"5.6000%","8.4800%",Mortgage,PD Band 9,"9","9","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17379,"1409","0503",0.75640000,0.99830000,"75.64%","99.83%",HELOC,PD Band 9,"9","9","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17381,"1409","0507",0.03930000,0.04390000,"3.93%","4.39%",Other Retail,PD Band 9,"9","9","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17507,"1410","0504",0.04810000,0.06350000,"4.81%","6.35%",Total QRRE,PD Band 10,"10","10","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
