"NCR_KEY_VAL","NCR_PRNT_KEY_VAL","NCR_KEY_DESC","NCR_PRNT_KEY_DESC","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"0309","0301",Nunavut,Total Canada,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"0309","0309",Nunavut,Nunavut,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1401","1400",PD Band 1,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1401","1401",PD Band 1,PD Band 1,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1402","1400",PD Band 2,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1402","1402",PD Band 2,PD Band 2,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1403","1400",PD Band 3,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1403","1403",PD Band 3,PD Band 3,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1404","1400",PD Band 4,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1404","1404",PD Band 4,PD Band 4,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1413","1400",PD Band 13,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1413","1413",PD Band 13,PD Band 13,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1414","1400",PD Band 14,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1414","1414",PD Band 14,PD Band 14,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1415","1400",PD Band 15,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1415","1415",PD Band 15,PD Band 15,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1416","1400",PD Band 16,Total PD Band,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1416","1416",PD Band 16,PD Band 16,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1502","1502",$10k to less than $15k,$10k to less than $15k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1502","1506",$10k to less than $15k,Less than $50k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1503","1503",$15k to less than $20k,$15k to less than $20k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1503","1506",$15k to less than $20k,Less than $50k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
"1504","1504",$20k to less than $50k,$20k to less than $50k,2014-10-02-10.59.39.000000,2014-10-02-10.59.39.000000
