"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MAX_VAL","PD_MIN_VAL","FRS_CD","PD_MIN_VAL_DESC","EFF_FROM_YR_MTH","PD_MAX_VAL_DESC","EFF_TO_YR_MTH","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","PD_BAND","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17078,"1409","0500",,,"9         ",,"200010",,"999912",Total Retail,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17079,"1410","0500",,,"10        ",,"200010",,"999912",Total Retail,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17080,"1411","0500",,,"11        ",,"200010",,"999912",Total Retail,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17113,"1410","0505",,,"10        ",,"200010",,"999912",Credit Card,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17114,"1411","0505",,,"11        ",,"200010",,"999912",Credit Card,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17115,"1412","0505",,,"12        ",,"200010",,"999912",Credit Card,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17094,"1408","0501",,,"8         ",,"200010",,"999912",Mortgage and HELOC,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17095,"1409","0501",,,"9         ",,"200010",,"999912",Mortgage and HELOC,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17096,"1410","0501",,,"10        ",,"200010",,"999912",Mortgage and HELOC,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17097,"1411","0501",,,"11        ",,"200010",,"999912",Mortgage and HELOC,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17098,"1412","0501",,,"12        ",,"200010",,"999912",Mortgage and HELOC,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17099,"1413","0501",,,"13        ",,"200010",,"999912",Mortgage and HELOC,PD Band 13,"13        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17100,"1414","0501",,,"14        ",,"200010",,"999912",Mortgage and HELOC,PD Band 14,"14        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17101,"1426","0501",,,"26        ",,"200010",,"999912",Mortgage and HELOC,Defaulted - 100%,"26        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17102,"1499","0501",,,,,"200010",,"999912",Mortgage and HELOC,No PD Band,,Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17143,"1406","0510",,,"6         ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 6,"6         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17144,"1407","0510",,,"7         ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 7,"7         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17145,"1408","0510",,,"8         ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 8,"8         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17146,"1409","0510",,,"9         ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 9,"9         ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17147,"1410","0510",,,"10        ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 10,"10        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17148,"1411","0510",,,"11        ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 11,"11        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
17149,"1412","0510",,,"12        ",,"200010",,"999912",Residential Mortgage - CMHC Insured,PD Band 12,"12        ",Y,2014-10-02-10.56.09.000000,2014-10-02-10.56.09.000000
