"CCAR_BASEL_PRD_TP_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","PRD_SHT_NM","EXPSR_SUB_TP_CD","BASEL_1_ASST_TP_CD","REGULATORY_PRD_TP_CD","PD_BAND_CD","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
GENW_B_BNS_04_01_11,"201604","999912",GENWBBNS040111                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_04_01_12,"201604","999912",GENWBBNS040112                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_04_01_13,"201604","999912",GENWBBNS040113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_05_01_09,"201604","999912",GENWBBNS050109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
ITL_RV_07_01_02,"201604","999912",ITLRV070102                             ,Other Retail Exposures                            ,Other Retail                                      ,Commitments                                       ,RETAIL-OTH,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_08_01_11,"201604","999912",GENWBBNS080111                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_08_01_12,"201604","999912",GENWBBNS080112                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_08_01_13,"201604","999912",GENWBBNS080113                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_99_01_09,"201604","999912",GENWBBNS990109                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
GENW_B_BNS_99_01_10,"201604","999912",GENWBBNS990110                          ,Residential Mortgage Exposures                    ,GE                                                ,Commitments                                       ,RETAIL-RES,Y,2022-09-27-13.05.19.000000,2022-09-27-13.05.19.000000
